Thorlabs Beam M² Data Export

Date MM-DD-YYYY;06-07-2022
Time HH:MM:SS;11:38:54

Test Organisaton Adress;																																																			
Beam Profiler
Model;BC106-VIS
Serial Number;M00272611
Test Method;Full Image
Wavelength;[nm];632
Beam Quality Measurement;M2
Beam Diameter Measure Method;Beam Width Clip (1/e²)

Parameter;Unit;Result;
M²x'; ;1.27;
M²y'; ;1.24;
M² mean; ;1.25;

Beam Waist Position X';mm;45.90;
Beam Waist Position Y';mm;45.93;
Beam Waist Diameter X';µm;143.96;
Beam Waist Diameter Y';µm;143.90;

Rayleigh Length X';mm;20.30;
Rayleigh Length Y';mm;20.80;

Divergence Angle X';deg;0.406;
Divergence Angle Y';deg;0.396;

Divergence Asymmetry;%;0.976;

Z;X';Y';
0.00;364.53;348.30;
9.67;311.49;290.81;
19.33;234.23;234.05;
29.00;179.32;187.89;
38.67;147.00;150.67;
48.33;142.04;142.02;
58.00;166.27;165.14;
67.67;206.05;210.79;
77.33;250.73;261.73;
87.00;355.71;319.89;
96.67;411.58;379.33;
106.33;474.96;440.39;
116.00;530.19;506.14;
125.67;570.32;579.08;
135.33;636.82;631.57;
145.00;698.63;695.57;
